mmsi,imo,vessel_name,year_of_build,flag,dwt,teu_capacity,draft,loa,lbp,breadth_extreme,breadth_moulded,vessel_type
219045000,9780483,Maastricht Maersk,2019.0,DIS,210019.0,19630.0,15.0,399.0,378.5,59.0,58.6,fully cellular containership
636017727,9777204,MSC Anna,2016.0,LBR,185503.0,19200.0,17.44,399.98,383.0,,58.6,fully cellular containership
525020394,9769324,Gaivota,2016.0,IDN,3288.0,200.0,4.6,74.8,71.2,,15.0,general cargo with container capacity
232060242,9780653,CMA CGM Shakespeare,2017.0,GBR,24700.0,1924.0,9.5,177.5,169.52,,30.5,fully cellular containership
636019021,9770749,MSC Bianca,2019.0,LBR,141630.0,8800.0,16.98,328.46,,48.4,48.2,fully cellular containership
255805869,9770737,MSC Giulia,1970.0,PRT,128764.0,9408.0,16.0,299.99,286.39,,48.2,fully cellular containership
636018276,9770763,MSC Gayane,2018.0,LBR,120500.0,11568.0,16.0,314.33,300.83,,48.2,fully cellular containership
215137000,9780897,CMA CGM J.Madison,2018.0,MLT,148580.0,14000.0,16.0,366.0,350.0,,48.2,fully cellular containership
215181000,9780885,CMA CGM J.Adams,2017.0,MLT,148425.0,14000.0,16.0,365.96,350.0,,48.2,fully cellular containership
215197000,9780847,CMA CGM G. Washington,2017.0,MLT,148441.0,14414.0,16.0,365.96,350.0,,48.2,fully cellular containership
215251000,9780873,CMA CGM T.Roosevelt,2017.0,MLT,148384.0,14414.0,16.0,365.96,350.0,,48.2,fully cellular containership
636019348,9770751,MSC Aino,2019.0,LBR,141630.0,11500.0,16.98,328.46,314.38,,48.2,fully cellular containership
215125000,9780859,CMA CGM A Lincoln,2017.0,MLT,148488.0,14414.0,16.0,365.96,350.0,,48.2,fully cellular containership
255806057,9778399,Bright,2018.0,PMD,36917.0,2708.0,17.9,185.99,177.0,,34.8,fully cellular containership
477002300,9781188,KMTC Taipeis,2017.0,HKG,21741.0,1804.0,8.75,172.0,163.0,,27.5,fully cellular containership
232063671,9780665,CMA CGM Jane,2017.0,GBR,24700.0,1924.0,9.5,177.5,169.54,,30.5,fully cellular containership
215126000,9780861,CMA CGM T.Jefferson,2017.0,MLT,148407.0,14414.0,16.0,366.96,350.0,,48.2,fully cellular containership
244010945,9770701,FWN Performer,2017.0,NLD,10620.0,508.0,7.86,124.67,119.22,,18.0,general cargo with container capacity
413827888,,Wu Xiang 26,,CHN,,,,83.0,,26.0,,general cargo with container capacity
477172700,9783538,COSCO Shipping Libra,2018.0,HKG,200217.0,20039.0,14.0,399.8,383.0,,58.6,fully cellular containership
477139100,9783459,COSCO Shipping Taurus,2018.0,HKG,201868.0,20038.0,16.0,399.82,383.01,58.72,58.6,fully cellular containership
477157800,9783502,COSCO Shipping Leo,2018.0,HKG,197061.0,20057.0,14.0,400.0,382.0,,58.6,fully cellular containership
477168900,9783514,COSCO Shipping Capricorn,2018.0,HKG,197087.0,20057.0,14.0,400.0,382.0,,58.6,fully cellular containership
477148800,9783497,COSCO Shipping Aries,2018.0,HKG,197021.0,20000.0,14.0,400.0,382.0,58.6,58.6,fully cellular containership
477154700,9783526,COSCO Shipping Gemini,2018.0,HKG,200225.0,20028.0,14.0,399.88,383.0,58.6,58.6,fully cellular containership
477194100,9783473,COSCO Shipping Sagittarius,2018.0,HKG,202133.0,20038.0,14.0,399.8,383.0,,58.6,fully cellular containership
477166500,9783461,COSCO Shipping Virgo,2018.0,HKG,201827.0,20000.0,14.0,399.75,382.95,58.73,58.61,fully cellular containership
413484960,,Hui Jin Qiao 988,2015.0,CHN,,,2.0,80.0,,18.0,,general cargo with container capacity
413827924,,Chun Yuan 66,2014.0,CHN,,,,107.0,,19.0,,general cargo with container capacity
413827921,,De Jin 7,,CHN,,,,83.0,,16.0,,general cargo with container capacity
353800000,9784154,Ever Breed,2018.0,PAN,30000.0,2910.0,10.0,211.0,202.0,,32.8,fully cellular containership
357413000,9784116,Ever Brace,2018.0,PAN,30000.0,2910.0,10.0,211.0,202.0,,32.8,fully cellular containership
563034900,9784283,Maersk Hidalgo,2017.0,SGP,162050.0,15226.0,15.0,353.02,340.5,,53.5,fully cellular containership
563017800,9784257,Maersk Hong Kong,2017.0,SGP,162051.0,15226.0,15.0,353.02,340.5,,53.5,fully cellular containership
563069900,9784336,Maersk Havana,2019.0,SGP,178257.0,15226.0,15.0,353.02,340.5,,53.5,fully cellular containership
563042200,9784300,Maersk Hangzhou,2018.0,SGP,162051.0,15226.0,15.0,353.02,340.5,,53.5,fully cellular containership
563053300,9784312,Maersk Hamburg,2018.0,SGP,161905.0,15226.0,15.0,353.02,340.5,,53.5,fully cellular containership
372354000,9784130,Ever Brave,2018.0,PAN,30000.0,2906.0,10.0,211.0,202.0,,32.8,fully cellular containership
563026700,9784269,Maersk Horsburgh,2017.0,SGP,162051.0,15226.0,15.0,353.02,340.5,54.0,53.5,fully cellular containership
416036000,9784128,Ever Befit,2018.0,TWN,36972.0,2910.0,11.22,211.0,202.5,,32.8,fully cellular containership
416037000,9784142,Ever Being,2018.0,TWN,36972.0,2910.0,11.22,211.0,202.5,,32.8,fully cellular containership
636093158,9779771,RDO Ace,2018.0,LBR,119262.0,11000.0,15.52,335.76,320.35,,48.2,fully cellular containership
563030500,9784271,Maersk Halifax,2018.0,SGP,185317.0,15226.0,15.0,367.6,340.5,,53.5,fully cellular containership
